index,label,split
15376,5,train
22259,8,train
23960,8,train
4322,1,train
20281,7,train
9210,3,train
15327,5,train
157,0,train
21344,7,train
3931,1,train
6629,2,train
19051,7,train
601,0,train
5950,1,train
6657,2,train
2005,0,train
10620,3,train
26485,9,train
20536,7,train
18026,6,train
21582,8,train
9754,3,train
6022,2,train
8124,2,train
26035,9,train
15941,5,train
7742,2,train
718,0,train
2523,0,train
3145,1,train
9646,3,train
20589,7,train
12528,4,train
14877,5,train
16401,6,train
26129,9,train
12260,4,train
544,0,train
25273,9,train
745,0,train
3408,1,train
18406,6,train
8103,2,train
7414,2,train
20616,7,train
11116,3,train
8456,2,train
15092,5,train
26060,9,train
21752,8,train
25188,9,train
13580,4,train
6248,2,train
21535,8,train
1351,0,train
25425,9,train
15353,5,train
1437,0,train
13852,4,train
19609,7,train
9708,3,train
8547,2,train
13708,4,train
21279,7,train
26110,9,train
10808,3,train
26380,9,train
164,0,train
10783,3,train
15496,5,train
7718,2,train
22918,8,train
9077,3,train
22872,8,train
19972,7,train
16235,6,train
20256,7,train
12906,4,train
2967,0,train
24936,9,train
9643,3,train
9727,3,train
20936,7,train
8070,2,train
19122,7,train
3202,1,train
20920,7,train
21647,8,train
23516,8,train
15196,5,train
22425,8,train
14242,5,train
11169,3,train
15631,5,train
9665,3,train
8656,2,train
20088,7,train
16354,6,train
8848,2,train
3709,1,train
13385,4,train
14576,5,train
10031,3,train
12464,4,train
9344,3,train
16874,6,train
13412,4,train
19781,7,train
24202,9,train
7166,2,train
9886,3,train
903,0,train
6047,2,train
23290,8,train
22344,8,train
23595,8,train
20735,7,train
20967,7,train
10757,3,train
2691,0,train
6226,2,train
22300,8,train
23742,8,train
23432,8,train
10716,3,train
16032,6,train
21542,8,train
3174,1,train
19801,7,train
3917,1,train
25899,9,train
11864,4,train
2185,0,train
11189,3,train
5129,1,train
20229,7,train
10511,3,train
18266,6,train
22955,8,train
8548,2,train
14217,5,train
21868,8,train
12281,4,train
22269,8,train
19438,7,train
10694,3,train
26363,9,train
23599,8,train
941,0,train
16137,6,train
7628,2,train
25326,9,train
23993,8,train
17167,6,train
4117,1,train
12096,4,train
2574,0,train
8281,2,train
4368,1,train
6416,2,train
17076,6,train
23002,8,train
15150,5,train
11400,3,train
19733,7,train
18262,6,train
10287,3,train
21814,8,train
3811,1,train
13967,4,train
1829,0,train
8451,2,train
1249,0,train
4441,1,train
2238,0,train
7154,2,train
2188,0,train
15055,5,train
18311,6,train
7747,2,train
10108,3,train
18188,6,train
18409,6,train
11867,4,train
15223,5,train
7559,2,train
16705,6,train
240,0,train
22961,8,train
12633,4,train
6863,2,train
11431,3,train
10085,3,train
2698,0,train
24731,9,train
25051,9,train
13505,4,train
129,0,train
3525,1,train
19379,7,train
1993,0,train
19003,7,train
7294,2,train
9552,3,train
13695,4,train
1590,0,train
2471,0,train
5386,1,train
8080,2,train
17212,6,train
5865,1,train
14541,5,train
15407,5,train
12880,4,train
8765,2,train
13554,4,train
13215,4,train
3991,1,train
16749,6,train
14986,5,train
17946,6,train
10268,3,train
9266,3,train
15780,5,train
10831,3,train
8838,2,train
21469,7,train
8052,2,train
6356,2,train
4293,1,train
191,0,train
7217,2,train
14978,5,train
21040,7,train
5520,1,train
21242,7,train
22188,8,train
23414,8,train
17255,6,train
26931,9,train
6219,2,train
3509,1,train
16814,6,train
4271,1,train
24862,9,train
22929,8,train
5408,1,train
26225,9,train
4555,1,train
2154,0,train
14206,5,train
11190,3,train
10910,3,train
21794,8,train
19800,7,train
24696,9,train
24388,9,train
11436,3,train
23966,8,train
5319,1,train
527,0,train
16852,6,train
2805,0,train
18941,7,train
18161,6,train
3128,1,train
21305,7,train
11060,3,train
23179,8,train
9257,3,train
9135,3,train
12620,4,train
15139,5,train
26581,9,train
805,0,train
2252,0,train
113,0,train
16412,6,train
4049,1,train
5681,1,train
7890,2,train
6052,2,train
7796,2,train
8291,2,train
23813,8,train
12529,4,train
8064,2,train
21842,8,train
24782,9,train
2801,0,train
1128,0,train
7597,2,train
14905,5,train
2284,0,train
12508,4,train
2650,0,train
5974,1,train
6279,2,train
13027,4,train
4894,1,train
10182,3,train
9429,3,train
19243,7,train
26809,9,train
1316,0,train
329,0,train
26186,9,train
6880,2,train
24796,9,train
13661,4,train
24050,9,train
581,0,train
8506,2,train
4273,1,train
8799,2,train
23541,8,train
19843,7,train
14144,5,train
8869,2,train
7265,2,train
1265,0,train
24021,9,train
4958,1,train
12355,4,train
151,0,train
22533,8,train
25325,9,train
11166,3,train
2900,0,train
15857,5,train
13347,4,train
1474,0,train
11177,3,train
6394,2,train
14631,5,train
21427,7,train
5654,1,train
6910,2,train
18020,6,train
1269,0,train
23346,8,train
3179,1,train
24353,9,train
6856,2,train
13600,4,train
8099,2,train
26847,9,train
25535,9,train
6444,2,train
20898,7,train
9241,3,train
14488,5,train
22823,8,train
11973,4,train
14394,5,train
16326,6,train
20909,7,train
8115,2,train
25991,9,train
15658,5,train
8194,2,train
24251,9,train
11137,3,train
2313,0,train
18220,6,train
19924,7,train
8204,2,train
14967,5,train
21526,8,train
4608,1,train
4660,1,train
2073,0,train
21308,7,train
6597,2,train
4315,1,train
16420,6,train
25733,9,train
16272,6,train
7746,2,train
16488,6,train
16145,6,train
19196,7,train
24775,9,train
24600,9,train
14376,5,train
14411,5,train
11666,4,train
9292,3,train
11697,4,train
1554,0,train
4420,1,train
578,0,train
15329,5,train
18972,7,train
1623,0,train
10271,3,train
21747,8,train
13776,4,train
8444,2,train
18489,6,train
1170,0,train
23811,8,train
6005,2,train
16206,6,train
22202,8,train
18680,7,train
6639,2,train
17599,6,train
7973,2,train
26178,9,train
15623,5,train
2495,0,train
6180,2,train
6570,2,train
23373,8,train
21933,8,train
1418,0,train
26284,9,train
19923,7,train
18709,7,train
18346,6,train
17291,6,train
13125,4,train
8039,2,train
1453,0,train
1320,0,train
9994,3,train
9639,3,train
24954,9,train
15887,5,train
6808,2,train
15721,5,train
909,0,train
16919,6,train
14300,5,train
9260,3,train
19106,7,train
11693,4,train
5177,1,train
22218,8,train
6076,2,train
7787,2,train
6387,2,train
2396,0,train
10493,3,train
1024,0,train
18877,7,train
23964,8,train
25881,9,train
12408,4,train
843,0,train
8683,2,train
15624,5,train
1173,0,train
7663,2,train
26272,9,train
25221,9,train
3536,1,train
8885,2,train
6714,2,train
664,0,train
20438,7,train
5895,1,train
9001,3,train
13294,4,train
17058,6,train
10456,3,train
7697,2,train
2102,0,train
23931,8,train
20783,7,train
12458,4,train
26600,9,train
9827,3,train
16233,6,train
26304,9,train
21454,7,train
20370,7,train
10157,3,train
5191,1,train
18292,6,train
11880,4,train
1872,0,train
10583,3,train
25443,9,train
26971,9,train
8889,2,train
18618,7,train
9263,3,train
11779,4,train
6809,2,train
20414,7,train
25680,9,train
21379,7,train
10346,3,train
20208,7,train
1413,0,train
21212,7,train
2429,0,train
6350,2,train
8835,2,train
11421,3,train
13097,4,train
11958,4,train
15729,5,train
19225,7,train
20640,7,train
8555,2,train
1241,0,train
21795,8,train
21430,7,train
22183,8,train
3901,1,train
14834,5,train
11339,3,train
11129,3,train
3213,1,train
19218,7,train
16008,6,train
18654,7,train
23066,8,train
23579,8,train
20464,7,train
11480,3,train
2719,0,train
8935,2,train
3496,1,train
9062,3,train
24261,9,train
25008,9,train
16950,6,train
25302,9,train
8059,2,train
11558,4,train
3324,1,train
17209,6,train
15372,5,train
26015,9,train
13128,4,train
20379,7,train
6357,2,train
18682,7,train
17759,6,train
21109,7,train
19683,7,train
1914,0,train
9806,3,train
6187,2,train
4013,1,train
21912,8,train
12255,4,train
24033,9,train
20164,7,train
7314,2,train
21866,8,train
6695,2,train
18937,7,train
15866,5,train
5415,1,train
8487,2,train
15465,5,train
18205,6,train
864,0,train
12709,4,train
10844,3,train
10063,3,train
24162,9,train
25519,9,train
16363,6,train
3953,1,train
20642,7,train
15387,5,train
23496,8,train
13378,4,train
16179,6,train
15351,5,train
12039,4,train
8165,2,train
1818,0,train
18497,6,train
10184,3,train
20610,7,train
806,0,train
25870,9,train
9948,3,train
21899,8,train
3439,1,train
25113,9,train
25984,9,train
20563,7,train
22497,8,train
18352,6,train
25552,9,train
12819,4,train
25251,9,train
25294,9,train
8940,2,train
25099,9,train
1594,0,train
345,0,train
6010,2,train
15163,5,train
12519,4,train
6075,2,train
26995,9,train
3079,1,train
15638,5,train
3013,1,train
17574,6,train
19701,7,train
24420,9,train
18940,7,train
4578,1,train
22913,8,train
3132,1,train
16219,6,train
2031,0,train
13485,4,train
26343,9,train
24596,9,train
9305,3,train
2616,0,train
8746,2,train
23028,8,train
16503,6,train
2741,0,train
5618,1,train
6807,2,train
8142,2,train
20255,7,train
2759,0,train
24483,9,train
19336,7,train
17365,6,train
24404,9,train
8094,2,train
8186,2,train
6483,2,train
5776,1,train
19850,7,train
16429,6,train
6963,2,train
9438,3,train
18577,7,train
24243,9,train
23262,8,train
12313,4,train
19622,7,train
15043,5,train
26416,9,train
22144,8,train
22495,8,train
11283,3,train
7371,2,train
26768,9,train
3134,1,train
18538,7,train
12143,4,train
5927,1,train
6550,2,train
12409,4,train
23979,8,train
24084,9,train
8717,2,train
3169,1,train
23388,8,train
24319,9,train
5318,1,train
14291,5,train
12420,4,train
15024,5,train
9169,3,train
16956,6,train
17092,6,train
21209,7,train
20044,7,train
21398,7,train
15291,5,train
3352,1,train
21422,7,train
14954,5,train
8310,2,train
26356,9,train
8293,2,train
15888,5,train
17017,6,train
1430,0,train
11305,3,train
14457,5,train
10965,3,train
4122,1,train
20937,7,train
9830,3,train
8588,2,train
22353,8,train
10150,3,train
10267,3,train
20768,7,train
11858,4,train
13973,4,train
4509,1,train
7671,2,train
20672,7,train
1971,0,train
10300,3,train
26554,9,train
4831,1,train
18017,6,train
14161,5,train
654,0,train
23987,8,train
19697,7,train
13596,4,train
1374,0,train
15153,5,train
26394,9,train
18822,7,train
18782,7,train
11509,4,train
15067,5,train
9160,3,train
9236,3,train
19093,7,train
15757,5,train
5625,1,train
9240,3,train
18169,6,train
2671,0,train
22390,8,train
25137,9,train
20011,7,train
25688,9,train
16603,6,train
6846,2,train
3003,1,train
20897,7,train
4010,1,train
17551,6,train
13962,4,train
10914,3,train
11335,3,train
10393,3,train
16242,6,train
7954,2,train
14899,5,train
24427,9,train
11250,3,train
8763,2,train
26189,9,train
14097,5,train
12196,4,train
18824,7,train
4835,1,train
3453,1,train
23619,8,train
14372,5,train
19307,7,train
3247,1,train
11761,4,train
21411,7,train
24312,9,train
13402,4,train
22072,8,train
10305,3,train
12356,4,train
21276,7,train
9678,3,train
10444,3,train
9578,3,train
4500,1,train
4430,1,train
24843,9,train
1084,0,train
5285,1,train
5024,1,train
15013,5,train
12704,4,train
21505,8,train
15962,5,train
16578,6,train
2641,0,train
4562,1,train
14030,5,train
12570,4,train
409,0,train
3420,1,train
1561,0,train
12141,4,train
14535,5,train
4650,1,train
23726,8,train
15871,5,train
12787,4,train
21119,7,train
11581,4,train
25884,9,train
3061,1,train
22310,8,train
24929,9,train
19714,7,train
25234,9,train
9803,3,train
21670,8,train
25522,9,train
22160,8,train
16979,6,train
22579,8,train
7145,2,train
6915,2,train
21548,8,train
11989,4,train
3876,1,train
8057,2,train
7179,2,train
13156,4,train
7915,2,train
20224,7,train
21586,8,train
17515,6,train
12559,4,train
25820,9,train
239,0,train
26311,9,train
12857,4,train
3259,1,train
14178,5,train
13769,4,train
24241,9,train
5940,1,train
10434,3,train
18515,7,train
14691,5,train
8028,2,train
1599,0,train
22620,8,train
26753,9,train
25293,9,train
2765,0,train
19194,7,train
2654,0,train
13685,4,train
9566,3,train
22020,8,train
24486,9,train
12392,4,train
6257,2,train
26255,9,train
10573,3,train
25975,9,train
22624,8,train
25331,9,train
18369,6,train
24200,9,train
15549,5,train
23983,8,train
22496,8,train
15235,5,train
6093,2,train
22632,8,train
26389,9,train
8743,2,train
8516,2,train
16269,6,train
7175,2,train
14213,5,train
13677,4,train
6830,2,train
2597,0,train
7750,2,train
19148,7,train
16090,6,train
1225,0,train
13900,4,train
16975,6,train
12949,4,train
10869,3,train
7682,2,train
18042,6,train
21604,8,train
9162,3,train
7803,2,train
4848,1,train
25676,9,train
10118,3,train
11932,4,train
18005,6,train
2438,0,train
22543,8,train
3861,1,train
18663,7,train
6564,2,train
16865,6,train
23637,8,train
24981,9,train
18806,7,train
20700,7,train
6560,2,train
18874,7,train
1007,0,train
6238,2,train
13241,4,train
1653,0,train
13614,4,train
3864,1,train
10003,3,train
16302,6,train
17419,6,train
15188,5,train
16331,6,train
2550,0,train
3790,1,train
25064,9,train
7003,2,train
22516,8,train
22883,8,train
8145,2,train
18470,6,train
24573,9,train
12530,4,train
11498,3,train
22432,8,train
22557,8,train
2720,0,train
12765,4,train
13565,4,train
20594,7,train
6738,2,train
22503,8,train
13638,4,train
18723,7,train
9720,3,train
10649,3,train
6242,2,train
14240,5,train
23997,8,train
23959,8,train
29,0,train
11689,4,train
10709,3,train
3577,1,train
13079,4,train
25784,9,train
19077,7,train
9000,3,train
14289,5,train
17284,6,train
7533,2,train
12974,4,train
4408,1,train
19026,7,train
26900,9,train
21644,8,train
8089,2,train
1211,0,train
26376,9,train
19597,7,train
5775,1,train
1146,0,train
21285,7,train
5805,1,train
10701,3,train
4666,1,train
4716,1,train
6673,2,train
19327,7,train
7114,2,train
2774,0,train
2593,0,train
18609,7,train
12471,4,train
11376,3,train
19303,7,train
3207,1,train
25963,9,train
7473,2,train
8354,2,train
14858,5,train
8774,2,train
15156,5,train
20340,7,train
12507,4,train
10647,3,train
10143,3,train
16318,6,train
22548,8,train
10385,3,train
11772,4,train
1948,0,train
2424,0,train
11782,4,train
13017,4,train
26104,9,train
8419,2,train
5330,1,train
14683,5,train
20139,7,train
25520,9,train
13564,4,train
7701,2,train
23927,8,train
17659,6,train
16762,6,train
2203,0,train
2740,0,train
4451,1,train
8175,2,train
265,0,train
20614,7,train
12613,4,train
14502,5,train
9152,3,train
25070,9,train
19242,7,train
19971,7,train
18444,6,train
20732,7,train
21517,8,train
3934,1,train
11046,3,train
12732,4,train
6741,2,train
1912,0,train
24035,9,train
23900,8,train
12181,4,train
20036,7,train
6445,2,train
16144,6,train
6749,2,train
10686,3,train
18894,7,train
18791,7,train
15499,5,train
3149,1,train
10447,3,train
21215,7,train
9444,3,train
15293,5,train
16155,6,train
15824,5,train
9400,3,train
1056,0,train
26052,9,train
16447,6,train
17001,6,train
23361,8,train
3146,1,train
1558,0,train
10060,3,train
23867,8,train
8034,2,train
12769,4,train
10942,3,train
14943,5,train
15518,5,train
11463,3,train
1553,0,train
20669,7,train
6104,2,train
26017,9,train
24770,9,train
1494,0,train
4942,1,train
1171,0,train
20901,7,train
10120,3,train
8687,2,train
5081,1,train
5347,1,train
26710,9,train
13599,4,train
9026,3,train
22668,8,train
6088,2,train
17640,6,train
5340,1,train
19956,7,train
23860,8,train
17850,6,train
21926,8,train
4720,1,train
4981,1,train
18992,7,train
3846,1,train
10793,3,train
24537,9,train
20472,7,train
15254,5,train
15247,5,train
23544,8,train
26301,9,train
962,0,train
3071,1,train
1866,0,train
15604,5,train
13665,4,train
932,0,train
1596,0,train
5366,1,train
10714,3,train
22265,8,train
5164,1,train
3534,1,train
13958,4,train
4214,1,train
24563,9,train
19123,7,train
10802,3,train
19838,7,train
10497,3,train
9654,3,train
24132,9,train
25356,9,train
5128,1,train
6229,2,train
22252,8,train
2575,0,train
21567,8,train
12750,4,train
24071,9,train
14731,5,train
17833,6,train
17753,6,train
8090,2,train
2821,0,train
13543,4,train
20205,7,train
2308,0,train
22100,8,train
12823,4,train
26125,9,train
3899,1,train
10968,3,train
10170,3,train
9064,3,train
11042,3,train
3810,1,train
9306,3,train
24393,9,train
25960,9,train
944,0,train
23464,8,train
17719,6,train
21759,8,train
2345,0,train
26159,9,train
17882,6,train
20309,7,train
7642,2,train
12412,4,train
20847,7,train
3260,1,train
11401,3,train
1100,0,train
3084,1,train
4319,1,train
14216,5,train
11488,3,train
1607,0,train
17437,6,train
19549,7,train
6576,2,train
13571,4,train
15564,5,train
26511,9,train
20605,7,train
22541,8,train
14649,5,train
18380,6,train
213,0,train
23086,8,train
26400,9,train
9515,3,train
3968,1,train
6452,2,train
5650,1,train
2512,0,train
2353,0,train
23862,8,train
10690,3,train
3376,1,train
2535,0,train
6230,2,train
281,0,train
8206,2,train
3206,1,train
10711,3,train
462,0,train
21710,8,train
9265,3,train
26267,9,train
19585,7,train
13148,4,train
9156,3,train
222,0,train
14248,5,train
23903,8,train
24762,9,train
22334,8,train
6889,2,train
5722,1,train
24765,9,train
25154,9,train
21356,7,train
4364,1,train
11673,4,train
757,0,train
8679,2,train
21872,8,train
1616,0,train
3566,1,train
18247,6,train
20217,7,train
6325,2,train
15934,5,train
22832,8,train
10634,3,train
16641,6,train
24674,9,train
16463,6,train
25573,9,train
24521,9,train
6209,2,train
17049,6,train
25955,9,train
16778,6,train
14416,5,train
13714,4,train
14920,5,train
4354,1,train
23705,8,train
17252,6,train
10025,3,train
18917,7,train
9791,3,train
16430,6,train
20368,7,train
18710,7,train
3956,1,train
1834,0,train
2381,0,train
463,0,train
3774,1,train
13947,4,train
20627,7,train
18295,6,train
23783,8,train
15390,5,train
12271,4,train
19166,7,train
26443,9,train
21970,8,train
22700,8,train
23359,8,train
20697,7,train
16298,6,train
9938,3,train
14701,5,train
17606,6,train
4907,1,train
14500,5,train
14322,5,train
2770,0,train
8143,2,train
22486,8,train
14948,5,train
6968,2,train
25469,9,train
26079,9,train
22476,8,train
7394,2,train
12791,4,train
14857,5,train
17306,6,train
18843,7,train
6189,2,train
25684,9,train
5709,1,train
1820,0,train
7395,2,train
22249,8,train
8282,2,train
2131,0,train
2969,0,train
19628,7,train
12634,4,train
24458,9,train
11362,3,train
13578,4,train
1795,0,train
752,0,train
9982,3,train
3491,1,train
17461,6,train
24851,9,train
7764,2,train
428,0,train
631,0,train
23225,8,train
26530,9,train
10483,3,train
24311,9,train
8412,2,train
24699,9,train
6123,2,train
2709,0,train
3765,1,train
18596,7,train
20859,7,train
3094,1,train
12619,4,train
1463,0,train
23545,8,train
21441,7,train
20358,7,train
4938,1,train
18385,6,train
2567,0,train
1564,0,train
12470,4,train
11475,3,train
24746,9,train
9527,3,train
18583,7,train
9373,3,train
16279,6,train
11584,4,train
3985,1,train
12870,4,train
4807,1,train
9536,3,train
6030,2,train
13917,4,train
21451,7,train
17799,6,train
20113,7,train
18964,7,train
14463,5,train
10880,3,train
11593,4,train
6675,2,train
11972,4,train
10188,3,train
12511,4,train
22859,8,train
11365,3,train
1737,0,train
9922,3,train
7383,2,train
19142,7,train
12775,4,train
13551,4,train
9140,3,train
23463,8,train
8389,2,train
13208,4,train
21640,8,train
1032,0,train
18155,6,train
14199,5,train
10630,3,train
17228,6,train
2456,0,train
15665,5,train
23517,8,train
14075,5,train
16882,6,train
20264,7,train
8108,2,train
23023,8,train
7276,2,train
23833,8,train
25025,9,train
11136,3,train
3214,1,train
23207,8,train
25912,9,train
17224,6,train
16599,6,train
24811,9,train
8093,2,train
26959,9,train
24548,9,train
2666,0,train
24066,9,train
18875,7,train
24789,9,train
23764,8,train
26362,9,train
13209,4,train
1385,0,train
2059,0,train
3154,1,train
9844,3,train
3368,1,train
9541,3,train
23741,8,train
4044,1,train
23159,8,train
13229,4,train
2639,0,train
11836,4,train
7311,2,train
13751,4,train
23696,8,train
11511,4,train
25725,9,train
22318,8,train
1921,0,train
23431,8,train
16460,6,train
10987,3,train
18958,7,train
13927,4,train
16010,6,train
16643,6,train
23451,8,train
3715,1,train
11472,3,train
26116,9,train
7333,2,train
23479,8,train
17197,6,train
12333,4,train
8343,2,train
13263,4,train
26831,9,train
22246,8,train
25857,9,train
1502,0,train
8987,2,train
20074,7,train
23199,8,train
10514,3,train
24114,9,train
519,0,train
13766,4,train
11176,3,train
7063,2,train
15304,5,train
24628,9,train
20807,7,train
2190,0,train
13157,4,train
21415,7,train
20071,7,train
10923,3,train
24918,9,train
12816,4,train
1749,0,train
6364,2,train
6725,2,train
16400,6,train
7536,2,train
15506,5,train
25624,9,train
7034,2,train
21256,7,train
8852,2,train
9171,3,train
8840,2,train
20953,7,train
44,0,train
16976,6,train
24508,9,train
20779,7,train
10256,3,train
9565,3,train
21235,7,train
32,0,train
15162,5,train
12882,4,train
25671,9,train
17034,6,train
15450,5,train
958,0,train
16516,6,train
17245,6,train
15116,5,train
4637,1,train
393,0,train
18127,6,train
599,0,train
2995,0,train
5541,1,train
6700,2,train
334,0,train
26246,9,train
21104,7,train
13583,4,train
18045,6,train
707,0,train
24360,9,train
16404,6,train
14572,5,train
10565,3,train
9030,3,train
24994,9,train
17638,6,train
4019,1,train
11154,3,train
273,0,train
22077,8,train
3564,1,train
22927,8,train
7234,2,train
507,0,train
15882,5,train
13259,4,train
2546,0,train
13774,4,train
621,0,train
16607,6,train
14458,5,train
7794,2,train
8906,2,train
5737,1,train
22603,8,train
19454,7,train
7833,2,train
8067,2,train
5210,1,train
1328,0,train
6079,2,train
11161,3,train
20539,7,train
16134,6,train
23874,8,train
9385,3,train
16779,6,train
25780,9,train
5138,1,train
5494,1,train
19368,7,train
26094,9,train
17357,6,train
16911,6,train
2212,0,train
24657,9,train
17482,6,train
5335,1,train
4080,1,train
514,0,train
17535,6,train
18928,7,train
1771,0,train
4765,1,train
20200,7,train
24612,9,train
22206,8,train
785,0,train
22857,8,train
1407,0,train
10693,3,train
15840,5,train
14233,5,train
1044,0,train
2993,0,train
13666,4,train
25798,9,train
1261,0,train
22536,8,train
19410,7,train
22611,8,train
5484,1,train
4487,1,train
12251,4,train
16568,6,train
4607,1,train
16167,6,train
8805,2,train
8536,2,train
23314,8,train
4536,1,train
12825,4,train
5550,1,train
22643,8,train
5290,1,train
24989,9,train
11957,4,train
5295,1,train
24922,9,train
14273,5,train
21177,7,train
15102,5,train
25352,9,train
16860,6,train
23875,8,train
18450,6,train
8360,2,train
22368,8,train
10810,3,train
11615,4,train
15656,5,train
6105,2,train
14446,5,train
2583,0,train
18368,6,train
9050,3,train
14815,5,train
11276,3,train
3390,1,train
25583,9,train
16334,6,train
498,0,train
22308,8,train
26174,9,train
2091,0,train
8239,2,train
3065,1,train
2745,0,train
3109,1,train
4129,1,train
10049,3,train
17582,6,train
3484,1,train
2736,0,train
12324,4,train
19530,7,train
18426,6,train
584,0,train
17047,6,train
23057,8,train
3567,1,train
21084,7,train
9580,3,train
4993,1,train
25635,9,train
3555,1,train
9861,3,train
22674,8,train
15361,5,train
529,0,train
9695,3,train
939,0,train
4632,1,train
6054,2,train
26312,9,train
18232,6,train
19176,7,train
4728,1,train
11814,4,train
5531,1,train
7038,2,train
26181,9,train
17032,6,train
935,0,train
25390,9,train
24774,9,train
22602,8,train
5154,1,train
4976,1,train
20542,7,train
2850,0,train
3853,1,train
24438,9,train
26580,9,train
11778,4,train
20948,7,train
11187,3,train
6464,2,train
24045,9,train
6781,2,train
18592,7,train
15435,5,train
8891,2,train
17095,6,train
20262,7,train
6840,2,train
20106,7,train
21770,8,train
25103,9,train
10255,3,train
20306,7,train
14244,5,train
5803,1,train
11221,3,train
8727,2,train
22410,8,train
22519,8,train
25831,9,train
3457,1,train
705,0,train
18147,6,train
23029,8,train
18593,7,train
10298,3,train
12185,4,train
21429,7,train
8335,2,train
1419,0,train
8149,2,train
1610,0,train
6395,2,train
2818,0,train
11291,3,train
10389,3,train
11657,4,train
8289,2,train
1760,0,train
22813,8,train
15574,5,train
24092,9,train
4432,1,train
21594,8,train
22050,8,train
23341,8,train
26607,9,train
13822,4,train
14377,5,train
6177,2,train
24451,9,train
17160,6,train
23082,8,train
16611,6,train
16694,6,train
5396,1,train
18107,6,train
11623,4,train
26797,9,train
5630,1,train
53,0,train
2782,0,train
13854,4,train
8997,2,train
2534,0,train
6276,2,train
16794,6,train
6552,2,train
26879,9,train
4220,1,train
8541,2,train
1536,0,train
13588,4,train
21100,7,train
21815,8,train
19509,7,train
9893,3,train
19659,7,train
8130,2,train
2071,0,train
952,0,train
9961,3,train
12227,4,train
24798,9,train
4246,1,train
5028,1,train
23654,8,train
6635,2,train
21704,8,train
10410,3,train
13216,4,train
1999,0,train
25080,9,train
1352,0,train
5609,1,train
18196,6,train
24293,9,train
22282,8,train
17256,6,train
11981,4,train
10461,3,train
20056,7,train
5771,1,train
6155,2,train
13300,4,train
15698,5,train
12125,4,train
19998,7,train
24542,9,train
9220,3,train
13652,4,train
14757,5,train
11158,3,train
3016,1,train
8952,2,train
11478,3,train
9099,3,train
18363,6,train
9454,3,train
25921,9,train
2542,0,train
25816,9,train
20375,7,train
9674,3,train
25788,9,train
2972,0,train
1199,0,train
26179,9,train
16889,6,train
19632,7,train
20926,7,train
23085,8,train
3310,1,train
23596,8,train
7068,2,train
23311,8,train
4973,1,train
20725,7,train
20248,7,train
8192,2,train
5868,1,train
18876,7,train
21476,7,train
23683,8,train
17100,6,train
6777,2,train
5473,1,train
13699,4,train
14271,5,train
17223,6,train
16693,6,train
8991,2,train
9317,3,train
9934,3,train
6720,2,train
1798,0,train
23537,8,train
13892,4,train
11535,4,train
11854,4,train
2793,0,train
2531,0,train
17701,6,train
67,0,train
10421,3,train
26208,9,train
